,State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
131,Haryana,Bhiwani,24.0,69.0,15.0,8.0,1100.0,21.0,51.0,33.0,69.0,Satisfactory
132,Hisar,Hansi,85.0,125.0,19.0,11.0,629.0,20.0,53.0,33.0,183.0,Moderate
133,Hisar,Hisar,50.0,64.0,,,,16.0,56.0,32.0,82.0,Satisfactory
134,Hisar,Gangwa,14.0,18.0,,,,22.0,50.0,34.0,24.0,Good
135,Himachal Pradesh,Shimla,26.0,86.0,48.0,10.0,460.0,,94.0,18.0,86.0,Satisfactory
136,Himachal Pradesh,Arki,18.0,35.0,48.0,12.0,300.0,,94.0,24.0,48.0,Good
137,Himachal Pradesh,Subathu,18.0,35.0,48.0,12.0,300.0,,94.0,24.0,48.0,Good
138,Himachal Pradesh,Kasauli,18.0,35.0,48.0,12.0,300.0,6.0,79.0,20.0,48.0,Good
139,Himachal Pradesh,Suni,26.0,86.0,48.0,10.0,460.0,,94.0,27.0,86.0,Satisfactory
140,Himachal Pradesh,Rajgarh,53.0,90.0,45.0,6.0,449.0,6.0,85.0,22.0,90.0,Satisfactory
141,Himachal Pradesh,Kotkhai,26.0,86.0,48.0,10.0,460.0,3.0,90.0,21.0,86.0,Satisfactory
142,Himachal Pradesh,Theog,26.0,86.0,48.0,10.0,460.0,3.0,87.0,18.0,86.0,Satisfactory
143,Himachal Pradesh,Narkand,26.0,86.0,48.0,10.0,460.0,1.0,88.0,14.0,86.0,Satisfactory
144,Jharkhand,Kanke,42.0,60.0,,,,19.0,100.0,25.0,70.0,Satisfactory
145,Himachal Pradesh,Solan,18.0,35.0,48.0,12.0,300.0,,94.0,22.0,48.0,Good
146,Jharkhand,Barkakana,42.0,60.0,,,,18.0,94.0,27.0,70.0,Satisfactory
147,Jharkhand,Ray,42.0,60.0,,,,19.0,90.0,26.0,70.0,Satisfactory
148,Jharkhand,Ranchi,42.0,60.0,,,,19.0,100.0,25.0,70.0,Satisfactory
